id,name,party,sector,country
ul,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,LINKE,Politik,Deutschland
cs,Constanze Stelzenmüller,Andere,Jura,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,Andere,Geschichte,Deutschland
lm,Ljudmyla Melnyk,Andere,Wissenschaft,Ukraine
kd,Kristina Dunz,Andere,Journalismus,Deutschland
el,Egils Levits,Andere,Politik,Lettland
ab,Annalena Baerbock,GRÜNE,Politik,Deutschland
ft,Frans Timmermans,Andere,Politik,Niederlande
am,Andrij Melnyk,Andere,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,Andere,Militär,Deutschland
rh,Robert Habeck,GRÜNE,Politik,Deutschland
cm,Claudia Major,Andere,Wissenschaft,Deutschland
kp,Katja Petrowskaja,Andere,Literatur,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
CDU,CDU,CDU,NA,NA
FDP,FDP,FDP,NA,NA
SPD,SPD,SPD,NA,NA
GRUENE,GRÜNE,GRÜNE,NA,NA
LINKE,LINKE,LINKE,NA,NA
KEINE,Keine Partei,Keine Partei,NA,NA
